provider_id,clinic,role,fte,years_in_practice
DR001,Family Medicine,MD,1.0,24
DR002,Family Medicine,MD,0.8,28
DR003,Family Medicine,DO,1.0,4
DR004,Family Medicine,MD,1.0,6
DR005,Family Medicine,MD,1.0,8
DR006,Family Medicine,PA,1.0,8
DR007,Family Medicine,MD,1.0,27
DR008,Family Medicine,NP,0.8,8
DR009,Internal Medicine,MD,0.6,25
DR010,Internal Medicine,MD,0.8,24
DR011,Internal Medicine,MD,1.0,16
DR012,Internal Medicine,MD,1.0,3
DR013,Internal Medicine,NP,0.6,18
DR014,Internal Medicine,DO,1.0,17
DR015,Internal Medicine,DO,1.0,6
DR016,Cardiology,NP,1.0,24
DR017,Cardiology,PA,1.0,13
DR018,Cardiology,MD,0.6,22
DR019,Cardiology,MD,1.0,9
DR020,Cardiology,MD,1.0,9
DR021,Orthopedics,NP,1.0,22
DR022,Orthopedics,PA,0.8,28
DR023,Orthopedics,MD,1.0,4
DR024,Orthopedics,MD,1.0,4
DR025,Orthopedics,NP,1.0,28
